Date,NSE_Symbol,MWPL,Open_Interest,Future_Equivalent_OI,OI_pct_MWPL,FutOI_pct_MWPL,Ban_Flag
2026-04-01,360ONE,37756901,2752500,2593253.81897,7.29,6.87,False
2026-04-01,ABB,7946564,2736250,2018074.60429,34.43,25.4,False
2026-04-01,ABCAPITAL,123369777,57966900,44860385.557052,46.99,36.36,False
2026-04-01,ADANIENSOL,35196587,20336400,18322649.596073,57.78,52.06,False
2026-04-01,ADANIENT,33645895,24872955,16068805.9808187,73.93,47.76,False
2026-04-01,ADANIGREEN,64724093,27250800,21629668.309724,42.1,33.42,False
2026-04-01,ADANIPORTS,88142691,30375775,19686521.219953,34.46,22.33,False
2026-04-01,ADANIPOWER,482906787,13543250,11697195.6338935,2.8,2.42,False
2026-04-01,ALKEM,5873365,1280875,1157575.5840175,21.81,19.71,False
2026-04-01,AMBER,3260820,1358400,1002614.522878,41.66,30.75,False
2026-04-01,AMBUJACEM,97233107,77330400,61250860.4101185,79.53,62.99,False
2026-04-01,ANGELONE,96940911,34487500,22890409.969975,35.58,23.61,False
2026-04-01,APLAPOLLO,29871221,5864600,4865502.0664855,19.63,16.29,False
2026-04-01,APOLLOHOSP,15524629,3349750,2544975.38410125,21.58,16.39,False
2026-04-01,ASHOKLEY,423779104,262525000,156883843.79825,61.95,37.02,False
2026-04-01,ASIANPAINT,62818628,18653750,14356579.84851,29.69,22.85,False
2026-04-01,ASTRAL,17577908,10694275,8960370.14044275,60.84,50.98,False
2026-04-01,AUBANK,86532345,30898000,25162753.55541,35.71,29.08,False
2026-04-01,AUROPHARMA,41977935,24955700,20333694.7542515,59.45,48.44,False
2026-04-01,AXISBANK,331596880,83057500,71653666.8248875,25.05,21.61,False
2026-04-01,BAJAJ-AUTO,12553818,4410375,3421592.45839825,35.13,27.26,False
2026-04-01,BAJAJFINSV,65784745,15378500,11613825.9411425,23.38,17.65,False
2026-04-01,BAJAJHLDNG,5401993,308750,258595.705262,5.72,4.79,False
2026-04-01,BAJFINANCE,387962395,95926500,71765572.1308575,24.73,18.5,False
2026-04-01,BANDHANBNK,145616308,112770000,84184791.107944,77.44,57.81,False
2026-04-01,BANKBARODA,279476623,159532425,104123040.2099485,57.08,37.26,False
2026-04-01,BANKINDIA,181770921,71219200,51842624.998868,39.18,28.52,False
2026-04-01,BDL,13786716,8256150,4106881.1080115,59.88,29.79,False
2026-04-01,BEL,535778534,156939525,105167394.30011223,29.29,19.63,False
2026-04-01,BHARATFORG,40107751,11111500,7711871.92674,27.7,19.23,False
2026-04-01,BHARTIARTL,342859930,70726075,58951983.9357615,20.63,17.19,False
2026-04-01,BHEL,192361942,135224250,100170181.9697925,70.3,52.07,False
2026-04-01,BIOCON,108004143,48667500,32053041.960225,45.06,29.68,False
2026-04-01,BLUESTARCO,15745076,3603925,2499203.52640925,22.89,15.87,False
2026-04-01,BOSCHLTD,868841,425050,265859.623287,48.92,30.6,False
2026-04-01,BPCL,306020745,78504275,50081152.372981,25.65,16.37,False
2026-04-01,BRITANNIA,14553559,3029125,2599740.38143375,20.81,17.86,False
2026-04-01,BSE,61182611,13310250,7463211.019825,21.75,12.2,False
2026-04-01,CAMS,37147595,7453500,5230832.4668475,20.06,14.08,False
2026-04-01,CANBK,504315430,300246750,205777752.4290475,59.54,40.8,False
2026-04-01,CDSL,26647500,15656475,9399206.323152,58.75,35.27,False
2026-04-01,CGPOWER,103080397,20575100,18060968.4361525,19.96,17.52,False
2026-04-01,CHOLAFIN,63646863,21956250,19440155.68070625,34.5,30.54,False
2026-04-01,CIPLA,76385219,18494250,14050656.31126375,24.21,18.39,False
2026-04-01,COALINDIA,320531323,82621350,53802923.23893,25.78,16.79,False
2026-04-01,COCHINSHIP,12661431,975200,422307.146322,7.7,3.34,False
2026-04-01,COFORGE,50256271,26304750,20626166.692665,52.34,41.04,False
2026-04-01,COLPAL,19054573,8242425,6248991.010542,43.26,32.8,False
2026-04-01,CONCOR,51639257,32657500,25530608.57015,63.24,49.44,False
2026-04-01,CROMPTON,96587231,55303200,47429564.93233,57.26,49.11,False
2026-04-01,CUMMINSIND,20374200,4212200,3474336.252396,20.67,17.05,False
2026-04-01,DABUR,76827821,38571250,31543739.5336,50.2,41.06,False
2026-04-01,DALBHARAT,12425160,2705625,2158750.95216825,21.78,17.37,False
2026-04-01,DELHIVERY,83072620,32230975,26765896.76614325,38.8,32.22,False
2026-04-01,DIVISLAB,15815194,3423600,2674667.733568,21.65,16.91,False
2026-04-01,DIXON,6478285,4505900,2543090.5154405,69.55,39.26,False
2026-04-01,DLF,96251298,67584000,54938898.513667,70.22,57.08,False
2026-04-01,DMART,16494391,6898950,4950452.224173,41.83,30.01,False
2026-04-01,DRREDDY,61026255,15009375,11568401.38328125,24.59,18.96,False
2026-04-01,EICHERMOT,20960143,4934700,3608597.521605,23.54,17.22,False
2026-04-01,ETERNAL,1366821859,254782625,191515362.0871785,18.64,14.01,False
2026-04-01,EXIDEIND,50211048,42438600,29033744.744542,84.52,57.82,False
2026-04-01,FEDERALBNK,359450597,110145000,82779066.9272,30.64,23.03,False
2026-04-01,FORCEMOT,736885,8350,6801.9956567,1.13,0.92,False
2026-04-01,FORTIS,70894446,14160800,12594456.869351,19.97,17.77,False
2026-04-01,GAIL,471255857,136413900,89932233.8942345,28.95,19.08,False
2026-04-01,GLENMARK,15844372,12904125,11437849.1099025,81.44,72.19,False
2026-04-01,GMRAIRPORT,534704421,184439925,141380691.1961055,34.49,26.44,False
2026-04-01,GODFRYPHLP,6329596,51150,36934.36452075,0.81,0.58,False
2026-04-01,GODREJCP,53250524,12045500,10956039.56414,22.62,20.57,False
2026-04-01,GODREJPROP,23870110,10662850,7911377.42455325,44.67,33.14,False
2026-04-01,GRASIM,38401443,15391250,14476578.607505,40.08,37.7,False
2026-04-01,HAL,28450886,13123950,8271014.2753575,46.13,29.07,False
2026-04-01,HAVELLS,29751886,10339500,8390731.9365,34.75,28.2,False
2026-04-01,HCLTECH,145140505,39564000,33998611.4157545,27.26,23.42,False
2026-04-01,HDFCAMC,30592324,7224000,6330600.971119,23.61,20.69,False
2026-04-01,HDFCBANK,1496665645,462891550,365749968.0628805,30.93,24.44,False
2026-04-01,HDFCLIFE,156090005,54971400,43409427.206752,35.22,27.81,False
2026-04-01,HEROMOTOCO,19589014,4755900,3587340.843714,24.28,18.31,False
2026-04-01,HINDALCO,218611634,53803400,40967053.66587,24.61,18.74,False
2026-04-01,HINDPETRO,143933168,69996150,45407753.7893975,48.63,31.55,False
2026-04-01,HINDUNILVR,89517840,21393900,16453809.505403,23.9,18.38,False
2026-04-01,HINDZINC,241870587,65909900,41467851.16927275,27.25,17.14,False
2026-04-01,HUDCO,75071250,39524325,30063343.728688,52.65,40.05,False
2026-04-01,HYUNDAI,21329205,1849100,1534725.68002175,8.67,7.2,False
2026-04-01,ICICIBANK,668616020,157266200,129497034.886395,23.52,19.37,False
2026-04-01,ICICIGI,27086521,5469425,4942282.89526225,20.19,18.25,False
2026-04-01,ICICIPRULI,58892926,21145500,18394560.99696175,35.9,31.23,False
2026-04-01,IDEA,12096038468,8187389775,6501002351.151781,67.69,53.74,False
2026-04-01,IDFCFIRSTB,1101871266,604980425,423256746.10667926,54.9,38.41,False
2026-04-01,IEX,133395043,121061250,68508956.79345,90.75,51.36,False
2026-04-01,INDHOTEL,123332004,30032000,21702548.26713,24.35,17.6,False
2026-04-01,INDIANB,52862157,13491000,9356908.39661,25.52,17.7,False
2026-04-01,INDIGO,33878797,12496200,7375183.433234,36.89,21.77,False
2026-04-01,INDUSINDBK,93808799,47567100,39469774.319041,50.71,42.07,False
2026-04-01,INDUSTOWER,193625858,73026900,63448593.737476,37.72,32.77,False
2026-04-01,INFY,475237614,99319600,76292065.4476,20.9,16.05,False
2026-04-01,INOXWIND,144708707,136629350,102210823.95631576,94.42,70.63,False
2026-04-01,IOC,684903861,172755375,112404552.2387775,25.22,16.41,False
2026-04-01,IREDA,119011160,77942400,46585521.718701,65.49,39.14,False
