Date, ISIN, Scrip Name, NSE Symbol, MWPL, Open Interest, Future Equivalent Open Interest, Limit for Next Day
24-JUL-2026,INE466L01038,360 ONE WAM LIMITED,360ONE,51083894,8851500,4922505.781205,43607193
24-JUL-2026,INE117A01022,ABB INDIA LIMITED,ABB,7946564,6062500,2359313.51204125,5189922
24-JUL-2026,INE674K01013,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,123720921,62871100,37167635.574937,80367239
24-JUL-2026,INE931S01010,ADANI ENERGY SOLUTION LTD,ADANIENSOL,49139888,32815125,20415838.96686525,26267054
24-JUL-2026,INE423A01024,ADANI ENTERPRISES LIMITED,ADANIENT,49118842,29539164,17659964.99587004,29002934
24-JUL-2026,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,92816927,47522400,26968865.057382,61207215
24-JUL-2026,INE742F01042,ADANI PORT & SEZ LTD,ADANIPORTS,110514429,33199175,21272444.7522795,83716262
24-JUL-2026,INE814H01029,ADANI POWER LTD,ADANIPOWER,724360180,286325250,166058761.0230895,522083409
24-JUL-2026,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,7243069,2108250,1566900.79794,5314014
24-JUL-2026,INE371P01015,AMBER ENTERPRISES (I) LTD,AMBER,3263764,4496200,1617407.283908,1483168
24-JUL-2026,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,121709478,108926400,83467133.165996,32156870
24-JUL-2026,INE732I01021,ANGEL ONE LIMITED,ANGELONE,97286577,79282500,29993690.18625,62428557
24-JUL-2026,INE702C01027,APL APOLLO TUBES LTD,APLAPOLLO,29883578,7996100,5553260.008133,22836139
24-JUL-2026,INE437A01024,APOLLO HOSPITALS ENTER. L,APOLLOHOSP,15524629,4177125,2406938.4346575,12341459
24-JUL-2026,INE208A01029,ASHOK LEYLAND LTD,ASHOKLEY,423779104,324370000,162894507.2722,239695641
24-JUL-2026,INE021A01026,ASIAN PAINTS LIMITED,ASIANPAINT,45385909,16719750,9221434.26368,33895179
24-JUL-2026,INE006I01046,ASTRAL LIMITED,ASTRAL,18447449,13883900,7347194.32123475,10177882
24-JUL-2026,INE949L01017,AU SMALL FINANCE BANK LTD,AUBANK,78124588,47573000,28070912.28325,46147446
24-JUL-2026,INE406A01037,AUROBINDO PHARMA LTD,AUROPHARMA,41977935,19784600,11749643.0865285,28129395
24-JUL-2026,INE238A01034,AXIS BANK LIMITED,AXISBANK,306812193,149711250,89193815.89944375,202277767
24-JUL-2026,INE917I01010,BAJAJ AUTO LIMITED,BAJAJ-AUTO,12912877,8229525,2702348.687234,9564884
24-JUL-2026,INE918I01026,BAJAJ FINSERV LTD.,BAJAJFINSV,65885861,20890500,11353359.401119,51238208
24-JUL-2026,INE118A01012,BAJAJ HOLDINGS & INVS LTD,BAJAJHLDNG,5401993,624900,348317.4308325,4783575
24-JUL-2026,INE296A01032,BAJAJ FINANCE LIMITED,BAJFINANCE,368171395,118916250,80814389.497675,268948435
24-JUL-2026,INE545U01014,BANDHAN BANK LIMITED,BANDHANBNK,147442270,326275200,136061392.7956,4008763
24-JUL-2026,INE028A01039,BANK OF BARODA,BANKBARODA,279476623,275464800,143666577.75264,121836214
24-JUL-2026,INE084A01016,BANK OF INDIA,BANKINDIA,181770921,177460400,101562564.420508,71119810
24-JUL-2026,INE171Z01026,BHARAT DYNAMICS LIMITED,BDL,13786716,19029800,7599525.51640425,5497854
24-JUL-2026,INE263A01024,BHARAT ELECTRONICS LTD,BEL,465894408,204630000,116446182.3132695,326153505
24-JUL-2026,INE465A01025,BHARAT FORGE LTD,BHARATFORG,40107751,12417000,7835771.965925,30266591
24-JUL-2026,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,421856445,87750550,60042585.465911,340721037
24-JUL-2026,INE257A01026,BHEL,BHEL,218493415,189023625,90678960.826,116889783
24-JUL-2026,INE376G01013,BIOCON LIMITED.,BIOCON,108030546,105032500,54641999.07135,47987019
